clip,lang,prob,text
dataset/65. Ч.12. Общежитие/sound/0005.mp3,he,0.605,אבל צגן הוא החדק שניות אמסרן
dataset/65. Ч.13. Интернат/sound/0001.mp3,lt,0.533,kad aras arsidvo internet.
dataset/65. Ч.13. Интернат/sound/0005.mp3,la,0.597,"Uagorate, aua, rayone, res publikaje, bira internetta ish."
dataset/65. Ч.13. Интернат/sound/0007.mp3,ru,0.228,"Отдыха в интернете. Мой сын, моя дочь..."
dataset/65. Ч.13. Интернат/sound/0008.mp3,az,0.272,maşıvalladı mafard maçıcı ağırkanın s-internati.
dataset/65. Ч.14. Преподаватель/sound/0001.mp3,ar,0.364,أجدًا برشاج
dataset/65. Ч.14. Преподаватель/sound/0002.mp3,ru,0.308,Нема саг
dataset/65. Ч.14. Преподаватель/sound/0003.mp3,ar,0.521,آنغليشاق فزاج آخر جنق
dataset/65. Ч.14. Преподаватель/sound/0005.mp3,tr,0.419,"Dö, sağ var, predmeye döttü."
dataset/65. Ч.14. Преподаватель/sound/0006.mp3,de,0.300,Wuse. Man macht von defenen Skoleihe Wuse auch organisierte.
dataset/65. Ч.14. Преподаватель/sound/0010.mp3,pl,0.165,Francuzka wajezyka.
dataset/65. Ч.15. Школа/sound/0001.mp3,tr,0.401,"Kasır Aniş, Uyeşkola"
dataset/65. Ч.15. Школа/sound/0002.mp3,bg,0.270,"Касе вжагал ахурканут в ешколай, истори, географи, ама under предметта."
dataset/65. Ч.15. Школа/sound/0003.mp3,kk,0.535,"Касыглашей, фасштымаум ахорканғынс, фасаарайнаг, афжаг."
dataset/65. Ч.15. Школа/sound/0004.mp3,kk,0.152,"Савар фашарейнаң қавзғаң ахор канңыніз, уешколай? Яйзу чайу!"
dataset/65. Ч.15. Школа/sound/0005.mp3,ar,0.447,اش اخر كانن ماخ اخر كانن
dataset/65. Ч.15. Школа/sound/0006.mp3,ru,0.667,"Немцог, Англишог"
dataset/65. Ч.15. Школа/sound/0007.mp3,pl,0.755,"Francu, żaże w ża..."
dataset/65. Ч.15. Школа/sound/0010.mp3,uk,0.308,Вакоу і жароня школаїж.
dataset/65. Ч.16. Класс/sound/0001.mp3,az,0.448,Kəsik laşı aqorkanış?
dataset/65. Ч.16. Класс/sound/0002.mp3,kk,0.281,Қлаші сал ахоргані на дю үш.
dataset/65. Ч.16. Класс/sound/0003.mp3,yi,0.488,מה' נאח פנדו וגלשתפנן
"dataset/65. Ч.17. Программа, план/sound/0001.mp3",yi,0.304,"מנפנדה בעשון גבוהן, שקולהי אחר פרגרם היימה."
"dataset/65. Ч.17. Программа, план/sound/0007.mp3",lt,0.348,"fizikie. Ir on, uvršak, nemsa gvžadži, istoriji fizikai programai ma."
"dataset/65. Ч.17. Программа, план/sound/0009.mp3",ru,0.501,Класса. Школа и клава. Комла до он кустит.
"dataset/65. Ч.17. Программа, план/sound/0010.mp3",ru,0.213,планима.
"dataset/65. Ч.17. Программа, план/sound/0013.mp3",he,0.421,מרחמו
"dataset/65. Ч.17. Программа, план/sound/0014.mp3",pl,0.138,under programy i under plan.
dataset/65. Ч.18. Ученик/sound/0001.mp3,ru,0.162,Уезж колой охорганина к тащардыканикулты Кодар Витанс.
dataset/65. Ч.18. Ученик/sound/0002.mp3,ru,0.342,"Салщик у лазауом ахуркани, хорж..."
dataset/65. Ч.18. Ученик/sound/0003.mp3,ar,0.308,تنك خور
dataset/65. Ч.18. Ученик/sound/0004.mp3,pl,0.413,Restynbisz w żar.
dataset/65. Ч.18. Ученик/sound/0006.mp3,kk,0.229,"Асішкулазау, аф жара, хуркані."
dataset/65. Ч.18. Ученик/sound/0009.mp3,ar,0.462,ويك مراجد رأى أخر جنين أقوى
dataset/65. Ч.18. Ученик/sound/0010.mp3,ar,0.265,أجزي شارش تردان
dataset/65. Ч.19. Урок/sound/0001.mp3,ro,0.558,abonul am salurocis.
dataset/65. Ч.19. Урок/sound/0002.mp3,lt,0.222,Mokročima abad.
dataset/65. Ч.19. Урок/sound/0003.mp3,ru,0.390,Трудно!
dataset/65. Ч.19. Урок/sound/0004.mp3,en,0.363,
dataset/65. Ч.19. Урок/sound/0009.mp3,br,0.459,"Man, Marc Fande, Basa, oniron, Avjadje, Wurshag, Litila, Turai, Niem Saagavjadje, Faloie, Trimi, Physikei, Matimati, K. "
dataset/65. Ч.19. Урок/sound/0011.mp3,ar,0.184,دوركت شاخر كنتي
dataset/65. Ч.19. Урок/sound/0012.mp3,ar,0.644,وطبعوا لف آخر كن
dataset/65. Ч.2. Ученый/sound/0011.mp3,ar,0.379,ساور آخرادون قبخندم إش
dataset/65. Ч.2. Ученый/sound/0014.mp3,pl,0.592,"Filosowskich nauk. Aż dana fila logon, technikon, historion, filosofon nauka te kandidate, doktor. Technikumi."
dataset/65. Ч.2. Ученый/sound/0019.mp3,bg,0.445,Не. Ва института университете техникуме сална уката кандидата докторта и ш...
dataset/65. Ч.2. Ученый/sound/0021.mp3,ar,0.262,ويجن جنة أخر جنة أول
dataset/65. Ч.2. Ученый/sound/0022.mp3,ru,0.299,Жендгонтер Ахоргондом Чиу
dataset/65. Ч.20. Разговор с родителями/sound/0014.mp3,lt,0.571,Ubaši volat jų buldar školama saunus
dataset/65. Ч.20. Разговор с родителями/sound/0015.mp3,ka,0.328,"Škola mačin esau, aacham, aavdažezid, ʻaši təsāžezid, ʻevolatəom ʻiš."
dataset/65. Ч.20. Разговор с родителями/sound/0016.mp3,ru,0.320,"Валапу, watch it!"
dataset/65. Ч.20. Разговор с родителями/sound/0017.mp3,lv,0.220,Sālūna sāns školām.
dataset/65. Ч.20. Разговор с родителями/sound/0018.mp3,ru,0.840,Ваша дочь. Волопу. Вочер...
dataset/65. Ч.20. Разговор с родителями/sound/0019.mp3,ps,0.240,یقی افجردار شکولاي سونستتقنه والبپ
dataset/65. Ч.20. Разговор с родителями/sound/0020.mp3,ru,0.800,"Вот чешь, ехай уроктом. Ваш сын, ваша дочь"
dataset/65. Ч.20. Разговор с родителями/sound/0021.mp3,kk,0.490,"Волапу, отші жңа ахоркані, Аштей, аф жірдар ехій, Школа ма арбасу директерма, аанхашканінма."
dataset/65. Ч.20. Разговор с родителями/sound/0022.mp3,kk,0.243,"Валаппуйан, ва чужган, агар біріға щеңне харскаін канут хазар куштетал."
dataset/65. Ч.20. Разговор с родителями/sound/0023.mp3,ar,0.884,يا آخري فخجد رقان مطول
dataset/65. Ч.20. Разговор с родителями/sound/0024.mp3,lv,0.255,"Uofertu, atši, sā un navālsā un školāmā."
dataset/65. Ч.20. Разговор с родителями/sound/0025.mp3,kk,0.409,"өлапу, о чіз хо жа хоркан, аж зы ра жидан."
dataset/65. Ч.20. Разговор с родителями/sound/0026.mp3,fa,0.313,واتش جانانی زیناد کدو نمى فظ بخطاریش
"dataset/65. Ч.21. Экзамен, зачет, конкурс/sound/0001.mp3",lv,0.292,"Zadšot, kad fauzistud egzāmintalavard mach egzāmintalavard fauzistam iuni karon Sāvar bāra kanan reistai egzāmintu"
"dataset/65. Ч.21. Экзамен, зачет, конкурс/sound/0004.mp3",kk,0.253,"тңқор ждыті, аппат екзамінті дыр."
"dataset/65. Ч.21. Экзамен, зачет, конкурс/sound/0009.mp3",kk,0.253,"тңқор ждыті, аппат екзамінті дыр."
"dataset/65. Ч.21. Экзамен, зачет, конкурс/sound/0010.mp3",ar,0.164,ارفضم كنن اجزامين اجزامين تخشكي راتي راتي ويتخي
"dataset/65. Ч.21. Экзамен, зачет, конкурс/sound/0012.mp3",sq,0.422,"Štir konkursi, fi la logon, facultetma."
"dataset/65. Ч.21. Экзамен, зачет, конкурс/sound/0017.mp3",de,0.562,"Mach Institutma, Universitätma, Technikumma"
"dataset/65. Ч.21. Экзамен, зачет, конкурс/sound/0018.mp3",lt,0.542,Fakultietma štr. gytzil konkursiš.
dataset/65. Ч.22. Каникулы/sound/0001.mp3,ro,0.395,Caduamrea idei ziștă căniculță.
dataset/65. Ч.22. Каникулы/sound/0002.mp3,ro,0.461,Sa-șu ziște o canicul ta.
dataset/65. Ч.22. Каникулы/sound/0003.mp3,uk,0.867,Как ти думаешь провести конікуле? Кам!
dataset/65. Ч.22. Каникулы/sound/0004.mp3,sq,0.333,qud arvitës arvitëm makavëš de kanikultë.
dataset/65. Ч.22. Каникулы/sound/0005.mp3,lt,0.513,"Žkani kultraštai, že asauznan, maškuma, balgarima, dienģizma."
dataset/65. Ч.23. Детский сад/sound/0001.mp3,ru,0.310,"Шваллытый сахара, донуем ищ."
dataset/65. Ч.23. Детский сад/sound/0002.mp3,kk,0.178,Манфанды малаппуйе шивалаты сахарадо ма радтен.
dataset/65. Ч.23. Детский сад/sound/0004.mp3,kk,0.397,Сал Азіздый Ишенз Шивалыті Сахара Донма
dataset/65. Ч.23. Детский сад/sound/0005.mp3,he,0.341,משוולון יחי כדר
dataset/65. Ч.23. Детский сад/sound/0006.mp3,ar,0.204,شمخ تنجر دياجعي كشوت نشوف لطم
dataset/65. Ч.23. Детский сад/sound/0007.mp3,az,0.248,şəmah tən cərdəyə qəyi nə qasjut nəşvol attım.
dataset/65. Ч.24. Курсы/sound/0001.mp3,az,0.194,ÜLT vermərtə qind Santiago P making o زüla q邊 xələm ə yələ tərəkil girərəm. Nə qində teria nəti CC yerə Start It tə nə q
dataset/65. Ч.24. Курсы/sound/0006.mp3,de,0.857,Esch Archer können offiste.
dataset/65. Ч.24. Курсы/sound/0007.mp3,tr,0.478,"Kuşcita, Persana'nın kampültürtü, apiratırtı."
dataset/65. Ч.24. Курсы/sound/0008.mp3,tr,0.309,Satta ganan kursatı.
dataset/65. Ч.25. Библиотека/sound/0001.mp3,ru,0.714,Каждую обиблиотека.
dataset/65. Ч.25. Библиотека/sound/0002.mp3,ru,0.561,Салчин дише у библиотекей.
dataset/65. Ч.25. Библиотека/sound/0003.mp3,ru,0.248,"Ирон фищатый, у осмыштей, сытаясь, уобиблиотекая."
dataset/65. Ч.25. Библиотека/sound/0004.mp3,ar,0.383,قوري دوك قوري عم رضمة
dataset/65. Ч.25. Библиотека/sound/0005.mp3,pt,0.341,um esche negração.
dataset/65. Ч.25. Библиотека/sound/0006.mp3,lt,0.394,"Puskina, jevgeni anegin. Man kaue puskinačinig, wasmaš jevgeni anegin. Kostachie taugurava. Hei takatai, koštaičinig, ir"
dataset/65. Ч.26. Читальня/sound/0001.mp3,tr,0.384,Kaşandon kım i.
dataset/65. Ч.26. Читальня/sound/0002.mp3,yi,0.415,כששחת דווקושי קשן זו
dataset/65. Ч.26. Читальня/sound/0003.mp3,fr,0.390,Journal Mardouk.
dataset/65. Ч.26. Читальня/sound/0004.mp3,ro,0.241,"gezie-t reșcinade, jurnal, machdudje, asa a re farone. Păcif că m-am în avar."
dataset/65. Ч.4. Факультет/sound/0001.mp3,sq,0.781,Savar fakultiette iš uapeda gogon institute.
dataset/65. Ч.4. Факультет/sound/0002.mp3,de,0.731,Universität Ternikum.
dataset/65. Ч.4. Факультет/sound/0009.mp3,la,0.643,wa institute universitieta technikum geologon fakultet ish.
dataset/65. Ч.4. Факультет/sound/0012.mp3,la,0.593,Manfand d'Ebassaun fisichamatimatikum arzon geografion fakultetma.
dataset/65. Ч.4. Факультет/sound/0013.mp3,ar,0.459,أشعى حرقاً إيسطوريون فيلا لغون فكولتد
dataset/65. Ч.5. Кафедра/sound/0001.mp3,de,0.281,"Kösse Kaffee, Dröche, Kuschisch."
dataset/65. Ч.5. Кафедра/sound/0002.mp3,ar,0.266,أشكوشن ورشاج
dataset/65. Ч.5. Кафедра/sound/0003.mp3,lt,0.386,"Niemsag, anglišag, vžaį kafiedraje."
dataset/65. Ч.5. Кафедра/sound/0006.mp3,ro,0.639,"Savor ca fiedratei o institută. Ia, my!"
dataset/65. Ч.5. Кафедра/sound/0007.mp3,yi,0.410,"מ'מח פנד'בשון גווון, ירון עבוד שק אמרליטירתורי, כפי דרי'י, כשטטימא."
dataset/65. Ч.6. Студент/sound/0001.mp3,la,0.247,"Sal Studentri Šua Institute Universitete Hdann, Weiwur, Peda Gogon, Medi Cinnon"
dataset/65. Ч.6. Студент/sound/0002.mp3,ru,0.522,"Хахон металлургон, Кауон-Хазарадон, инженерон, арестадон, институты."
dataset/65. Ч.6. Студент/sound/0011.mp3,ar,0.308,ساور أدم خطتيتهم آخر كانت ستوديد
dataset/65. Ч.6. Студент/sound/0013.mp3,pt,0.348,se eu for joelho studentesar.
dataset/65. Ч.7. Стипендия/sound/0001.mp3,de,0.484,Steep ND Ischisch
dataset/65. Ч.7. Стипендия/sound/0002.mp3,en,0.430,"Archeation Nation, Steepe Andy."
dataset/65. Ч.7. Стипендия/sound/0003.mp3,en,0.443,such confidence steeply.
dataset/65. Ч.7. Стипендия/sound/0005.mp3,tr,0.212,stepe andi sonuna işe.
dataset/65. Ч.7. Стипендия/sound/0006.mp3,ar,0.241,ستبين دي كرائشون وطن بافيزنة دخاش
dataset/65. Ч.7. Стипендия/sound/0007.mp3,la,0.268,"Chiuom ishe, ashe ishe, Wal dar gond"
dataset/65. Ч.7. Стипендия/sound/0008.mp3,tr,0.445,Personalon stipendi.
dataset/65. Ч.8. Курс/sound/0001.mp3,bg,0.345,"Касе курси. Касе курси да, касе курси ще тод. Тарова! Савар дисциплината хащта, арсадъщи, фътзаг, дикгаг, артъкг, с пара"
dataset/65. Ч.8. Курс/sound/0002.mp3,lt,0.384,"Saugordīšu, uva facultieti fecegam, dikkagam, artikkagam, separam fanzankurse."
dataset/65. Ч.8. Курс/sound/0009.mp3,lt,0.592,Saulk ordeiš o fakultieti fecegam.
dataset/65. Ч.8. Курс/sound/0010.mp3,hi,0.294,dhikagam
dataset/65. Ч.8. Курс/sound/0011.mp3,tr,0.917,"Artık gagam, sıparam, fanzan kursu."
dataset/65. Ч.8. Курс/sound/0016.mp3,ar,0.424,تارو مورسي
dataset/65. Ч.9. Лектор/sound/0001.mp3,ar,0.806,لكتر نمى أرباسد
"dataset/65_Ч_3_Институт,_университет,_техникум,_колледж/sound/0001.mp3",ro,0.477,o respublica ii universitet iși.
"dataset/65_Ч_3_Институт,_университет,_техникум,_колледж/sound/0005.mp3",de,0.334,"sauerinstitut, technikunter, collegetaum ist."
"dataset/65_Ч_3_Институт,_университет,_техникум,_колледж/sound/0006.mp3",tr,0.232,Kastran İ!
"dataset/65_Ч_3_Институт,_университет,_техникум,_колледж/sound/0007.mp3",de,0.979,Mann von Defienin.
"dataset/65_Ч_3_Институт,_университет,_техникум,_колледж/sound/0008.mp3",ka,0.371,Pazakhadun Universitet
"dataset/65_Ч_3_Институт,_университет,_техникум,_колледж/sound/0009.mp3",de,0.830,Medizin und Akademie.
"dataset/65_Ч_3_Институт,_университет,_техникум,_колледж/sound/0010.mp3",he,0.327,חכון מתלורגון אינסטיטוד
"dataset/65_Ч_3_Институт,_университет,_техникум,_колледж/sound/0011.mp3",lt,0.471,"Gumanitaron, amas atsalon ir tašinat institut."
"dataset/65_Ч_3_Институт,_университет,_техникум,_колледж/sound/0012.mp3",pl,0.442,finansowa ekonomiczskiej kolicz.
"dataset/65_Ч_3_Институт,_университет,_техникум,_колледж/sound/0013.mp3",de,0.740,"Finanzen, Economicon, College"
"dataset/65_Ч_3_Институт,_университет,_техникум,_колледж/sound/0014.mp3",de,0.400,Medizinon College
"dataset/65_Ч_3_Институт,_университет,_техникум,_колледж/sound/0015.mp3",mn,0.297,Manfandir ba sound pedagogun institutma
"dataset/65_Ч_3_Институт,_университет,_техникум,_колледж/sound/0016.mp3",ru,0.223,медицинскую академию
"dataset/65_Ч_3_Институт,_университет,_техникум,_колледж/sound/0018.mp3",ru,0.573,Колеч.
"dataset/65_Ч_3_Институт,_университет,_техникум,_колледж/sound/0019.mp3",de,0.221,Savor prädemitte der Tanklau Schmachinstitutme
"dataset/65_Ч_3_Институт,_университет,_техникум,_колледж/sound/0020.mp3",ar,0.295,تخني كم كولجم
dataset/66. Ч.1. Аптека. Лекарства/sound/0001.mp3,az,0.407,"Kəmiş, əşdəkdər əptəkə."
dataset/66. Ч.1. Аптека. Лекарства/sound/0005.mp3,ps,0.226,"A vármám d'a khorza khai khufadji, sarniji, gubeniji khos."
dataset/66. Ч.1. Аптека. Лекарства/sound/0011.mp3,ja,0.645,マンカウウイオーティニツイリン
dataset/66. Ч.1. Аптека. Лекарства/sound/0012.mp3,sl,0.241,"žerdaniže kaplite, bambo, tavt baran."
dataset/66. Ч.1. Аптека. Лекарства/sound/0013.mp3,kk,0.185,көдініғаң ажгаңу ұсі асі Хұрш.
dataset/66. Ч.1. Аптека. Лекарства/sound/0015.mp3,uk,0.703,"Нуажіне того, йогай парашок кей."
dataset/66. Ч.1. Аптека. Лекарства/sound/0016.mp3,cy,0.289,ddysgai ar ddach gai.
dataset/66. Ч.1. Аптека. Лекарства/sound/0017.mp3,ar,0.775,خرد رعجمة
dataset/66. Ч.1. Аптека. Лекарства/sound/0018.mp3,bg,0.319,Харде фаште!
dataset/66. Ч.1. Аптека. Лекарства/sound/0019.mp3,ja,0.232,You guys サイスマン バーシスマン ウィデゲイ
dataset/66. Ч.1. Аптека. Лекарства/sound/0021.mp3,de,0.764,"Das Rezept, man kann es nicht."
dataset/66. Ч.1. Аптека. Лекарства/sound/0022.mp3,ar,0.165,ساش بافيدا نطول
dataset/66. Ч.2. Болезнь/sound/0001.mp3,ar,0.500,أجرن كندن
dataset/66. Ч.2. Болезнь/sound/0002.mp3,es,0.272,Ve RENCHANU
dataset/66. Ч.2. Болезнь/sound/0003.mp3,lt,0.365,"Až, vui, nr. saldarbuny."
dataset/66. Ч.2. Болезнь/sound/0004.mp3,he,0.947,מחי יחי תשמני
dataset/66. Ч.2. Болезнь/sound/0005.mp3,de,0.688,"Ihr kann riech können, taft können, reidet dann."
dataset/66. Ч.2. Болезнь/sound/0011.mp3,fr,0.208,Zoom !
dataset/66. Ч.2. Болезнь/sound/0013.mp3,mn,0.260,"Masha'r Żerde, Aksen, Kus, Korte, Dendekte, Ašte, Ušte, Grisje."
dataset/66. Ч.2. Болезнь/sound/0014.mp3,lt,0.362,Masaštite rieššinis.
dataset/66. Ч.2. Болезнь/sound/0015.mp3,bg,0.535,и я сащата рищен.
dataset/66. Ч.2. Болезнь/sound/0016.mp3,fa,0.250,مجرد ختزقنه ویجرد ختزقنه
dataset/66. Ч.2. Болезнь/sound/0018.mp3,ru,0.561,Сидарище
dataset/66. Ч.2. Болезнь/sound/0019.mp3,de,0.421,am Rieche
dataset/66. Ч.2. Болезнь/sound/0020.mp3,ru,0.330,Дагрешта Ралаш.
dataset/66. Ч.2. Болезнь/sound/0021.mp3,en,0.337,ULF MAULF
dataset/66. Ч.2. Болезнь/sound/0022.mp3,hy,0.212,"อрخhošма, 6-9-1-1-1 ดай пульс, дапульсма-1-1-1"
dataset/66. Ч.2. Болезнь/sound/0026.mp3,tr,0.468,Kharga kutkanış.
dataset/66. Ч.2. Болезнь/sound/0027.mp3,tr,0.677,"Dışarılar işi, zil."
dataset/66. Ч.2. Болезнь/sound/0028.mp3,ar,0.242,سعر خسقا نشتايرنشا نوتا
dataset/66. Ч.2. Болезнь/sound/0029.mp3,de,0.511,Teefum.
dataset/66. Ч.2. Болезнь/sound/0030.mp3,fr,0.143,Désentirie
dataset/66. Ч.2. Болезнь/sound/0033.mp3,la,0.282,"Raždarni kushat tubirkulosei tifaj, gobanižaj, tafša gaj, miningitej."
dataset/66. Ч.2. Болезнь/sound/0035.mp3,tr,0.939,Kampres ukuldun.
dataset/66. Ч.2. Болезнь/sound/0036.mp3,de,0.946,Ich kann noch mal gucken.
dataset/66. Ч.2. Болезнь/sound/0037.mp3,tr,0.452,Yasaf'ın babası dayı.
dataset/66. Ч.2. Болезнь/sound/0038.mp3,ar,0.159,يوصال بونده يوصال بونية خوشن باكاوزن
dataset/66. Ч.2. Болезнь/sound/0040.mp3,de,0.984,"Apiraziden, Apirazien, können Kauhe, Anermang."
dataset/66. Ч.2. Болезнь/sound/0042.mp3,tr,0.826,taşagaydım.
dataset/66. Ч.2. Болезнь/sound/0043.mp3,lt,0.414,Taš šagaijim nisis.
dataset/66. Ч.3. Больница/sound/0001.mp3,ro,0.338,"Nirmada Nirmai-Rancindonei, Rafašin"
dataset/66. Ч.3. Больница/sound/0002.mp3,pl,0.443,Nammatisch.
dataset/66. Ч.3. Больница/sound/0003.mp3,ru,0.150,"Ренчендониден, ренчендонийн, хочдарозан."
dataset/66. Ч.3. Больница/sound/0004.mp3,az,0.109,"Tārta, tārda, rāfış sıştam, rünçün donay."
dataset/66. Ч.3. Больница/sound/0005.mp3,ro,0.596,"Rancându-ne carantinii, rancând farscite mi-dama na oazam."
dataset/66. Ч.3. Больница/sound/0006.mp3,lt,0.463,Salšiantadžiš uroňčiandonu.
dataset/66. Ч.3. Больница/sound/0007.mp3,pl,0.224,Wakawe rynciędą i...
dataset/66. Ч.4. Врач/sound/0001.mp3,az,0.433,Dögtür məməm ərbəkəndə qorcaqay
dataset/66. Ч.4. Врач/sound/0002.mp3,az,0.180,Kamsar döktür.
dataset/66. Ч.4. Врач/sound/0003.mp3,ar,0.236,كس شاخة فكوشة دخطر
dataset/66. Ч.4. Врач/sound/0004.mp3,lt,0.368,"Nevropatolagu, gini kolagu, akulistu, stamatolagu. Manfandy, machifieninkanin, Tirapieftan, Chirurgan, Nevropatolagu, gi"
dataset/66. Ч.4. Врач/sound/0005.mp3,az,0.349,"Saçditə dəkdirən, stəmat hoolagən dəndəkdir dəkdirən."
dataset/66. Ч.4. Врач/sound/0006.mp3,bg,0.469,"савърниждам, савърнижам, шартой, догдрата."
